id,title,main_artist,acousticness,danceability,energy,duration_ms,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_min
4RPXJzgyrNjy2g8CZXL3ZG,"Something Real (Did You feel It, Too?)",Oren Lavie,0.413,0.239,0.316,218827,0.00012,0,0.113,-11.941,0,0.0486,69.534,4,0.114,3.647116666666667
3onYsG7nB3FwEVHYYWCrIM,No Child Left Behind,Kanye West,0.00632,0.161,0.327,178061,0.792,1,0.138,-8.059,0,0.0341,135.382,3,0.0815,2.9676833333333335
2ZUJsR8HEktit58X6FuPQM,Heaven and Hell,Kanye West,0.0409,0.764,0.422,145301,0.0,0,0.152,-7.265,0,0.119,82.986,4,0.268,2.421683333333333
2gbMPBrBVj3CuNTLp2dHYs,Off The Grid,Kanye West,0.0438,0.546,0.64,339250,0.0,8,0.137,-5.582,1,0.37,137.728,4,0.63,5.654166666666667
0Zm7NKJgoKY6ZWwtoEUILK,Praise God,Kanye West,0.00904,0.798,0.545,226653,9.48e-05,1,0.258,-6.466,1,0.168,118.029,4,0.212,3.77755
0RbW8kWozrVSIGb4V13o0o,Hurricane,Kanye West,0.0466,0.587,0.561,243187,0.0,0,0.109,-6.569,1,0.146,80.009,4,0.351,4.053116666666667
7cf6eDkymrZaQNAoZBjq9C,Дома,ZOLOTO,0.15,0.859,0.668,152935,0.0374,1,0.11,-8.396,1,0.0371,124.061,4,0.497,2.5489166666666665
4u2jCma9zHR59lfKxBIOoy,toothless,100 gecs,0.0266,0.666,0.711,157360,0.0138,1,0.301,-6.089,1,0.0483,100.036,4,0.911,2.6226666666666665
3S58HTYrXmqGfhe6yh2XVO,Зверь,Kristina Kosheleva,0.000627,0.524,0.839,202243,0.00062,11,0.265,-3.589,0,0.0345,139.941,4,0.376,3.3707166666666666
58ZtTGuySqYHlquNK2ryyI,Vortex,Nick Cave & The Bad Seeds,0.0849,0.38,0.606,278147,0.00776,4,0.0731,-8.372,0,0.0406,174.447,4,0.421,4.635783333333333
45VG6m5fYU3rIMT7dnBq9h,Brick England,Jean-Michel Jarre,0.0297,0.539,0.837,241013,0.0347,1,0.0979,-6.812,1,0.0357,112.006,4,0.393,4.016883333333333
